[u'EAF', 24.364000320434602, 0.0020000000949949, 267757.13458927936, 1245139.0384615385]
[u'ORGS', 19.9200000762939, 0.00313999992795289, 217415.9261280251, 8570.962343096235]
[u'PUB', 138.0, 0.008999999612569809, 179900.0040233133, 34449.40070921986]
[u'RMP', 79.818733215332, 0.0299999993294477, 121081.60190125568, 120487.04767063922]
[u'CTZ', 26.8400001525879, 0.00499999988824129, 120300.00230968006, 52050.27308066084]
[u'CCD', 25.9799995422363, 0.0149999996647239, 111250.00477768485, 105416.8926615553]
[u'SAB', 319600.0, 1.36549997329712, 110428.76995446288, 1695378.0163179915]
[u'KE', 22.4500007629395, 0.0149999996647239, 99400.00031664963, 73249.84615384616]
[u'LN', 51.4799995422363, 0.0149999996647239, 96699.99920527148, 394344.92964071856]
[u'GHG', 25.100000381469698, 0.00499999988824129, 64850.000307336515, 607659.2926292629]
